poem小韵号	nk2028字头	unt修改后编码	切韵拼音
1069	兂	S1A	tsryim
1070	嵾	T1A	tsrhyim
1071	𧡪	Y1A	tjhim
1072	覃	G2A	dom
1073	參	O2A	tshom
1074	南	H2A	nom
1075	諳	h2A	qom
1076	含	j2A	ghom
1077	婪	I2A	lom
1078	蠶	P2A	dzom
1079	簪	N2A	tsom
1080	探	F2A	thom
1081	耽	E2A	tom
1082	龕	e2A	khom
1083	㟏	i2A	hom
1084	毿	Q2A	som
1085	弇	d2A	kom
1086	䜙	g2A	ngom
1087	談	G3A	dam
1088	甘	d3A	kam
1089	擔	E3A	tam
1090	三	Q3A	sam
1091	藍	I3A	lam
1092	坩	e3A	kham
1093	舑	F3A	tham
1094	慙	P3A	dzam
1095	酣	j3A	gham
1096	姏	D3A	mam
1097	𩈻	N3A	tsam
1098	蚶	i3A	ham
1099	鹽	l4A	jiem
1100	廉	I4A	liem
1101	砭	A4E	pyem
1102	銛	Q4A	siem
1103	籤	O4A	tshiem
1104	詹	X4A	tjiem
1105	棎	Z4A	djiem
1106	苫	a4A	sjiem
1107	䪜	Y4A	tjhiem
1108	𩓾	c4A	njiem
1109	黏	M4A	nriem
1110	炎	k4A	yem
1111	霑	J4A	triem
1112	覘	K4A	trhiem
1113	淹	h4E	qyem
1114	𢜩	e4E	khyem
1115	𪙊	g4E	ngyem
1116	尖	N4A	tsiem
1117	潛	P4A	dziem
1118	箝	f4E	gyem
1119	懕	h4A	qiem
1120	燅	R4A	ziem
1121	襳	V4A	sryem
1122	㶣	L4A	driem
1123	鍼	f4A	giem
1124	添	F5A	them
1125	𩬑	E5A	tem
1126	甜	G5A	dem
1127	鬑	I5A	lem
1128	謙	e5A	khem
1129	兼	d5A	kem
1130	嫌	j5A	ghem
1131	鮎	H5A	nem
1132	馦	i5A	hem
1133	咸	j6A	gheem
1134	緘	d6A	keem
1135	攕	V6A	sreem
1136	𤟟	h6A	qeem
1137	嵒	g6A	ngeem
1138	㰹	i6A	heem
1139	詀	J6A	treem
1140	諵	M6A	nreem
1141	讒	U6A	dzreem
1142	鵮	e6A	kheem
1143	銜	j7A	ghaem
1144	巉	U7A	dzraem
1145	巖	g7A	ngaem
1146	攙	T7A	tsrhaem
1147	衫	V7A	sraem
1148	監	d7A	kaem
1149	𨂝	C7A	baem
1150	嵌	e7A	khaem
1151	嚴	g8A	ngyom
1152	𩏩	i8A	hyom
1153	醃	h8A	qyom
1154	㪁	e8A	khyom
1155	凡	C9A	buom
1156	䒦	B9A	phuom
1157	董	EAB	toungq
1158	蠓	DAB	moungq
1159	孔	eAB	khoungq
1160	㪌	QAB	soungq
1161	侗	FAB	thoungq
1162	總	NAB	tsoungq
1163	澒	jAB	ghoungq
1164	蓊	hAB	qoungq
1165	𨑊	HAB	noungq
1166	琫	AAB	poungq
1167	曨	IAB	loungq
1168	嗊	iAB	houngq
1169	動	GAB	doungq
1170	菶	CAB	boungq
1171	腫	XDB	tjuongq
1172	寵	KDB	trhuongq
1173	隴	IDB	luongq
1174	擁	hDB	quongq
1175	宂	cDB	njuongq
1176	重	LDB	druongq
1177	冢	JDB	truongq
1178	奉	CDB	buongq
1179	捧	BDB	phuongq
1180	勇	lDB	juongq
1181	恐	eDB	khuongq
1182	尰	ZDB	djuongq
1183	拱	dDB	kuongq
1184	悚	QDB	suongq
1185	洶	iDB	huongq
1186	覂	ADB	puongq
1187	湩	ECB	tongq
1188	𪁪	DCB	mongq
1189	䅃	fDB	guongq
1190	𨿿	YDB	tjhuongq
1191	幒	ODB	tshuongq
1192	䙕	NDB	tsuongq
1193	講	dEB	koeungq
1194	㭋	CEB	boeungq
1195	慃	hEB	qoeungq
1196	𠈵	DEB	moeungq
1197	項	jEB	ghoeungq
1198	𦂌	AEB	poeungq
1199	傋	iEB	hoeungq
1200	紙	XFB	tjieq
1201	是	ZFB	djieq
1202	靡	DFF	myeq
1203	彼	AFF	pyeq
1204	被	CFF	byeq
1205	毀	iFN	hueq
1206	委	hFN	queq
1207	跪	eFN	khueq
1208	詭	dFN	kueq
1209	髓	QFJ	swieq
1210	絫	IFJ	lwieq
1211	技	fFF	gyeq
1212	倚	hFF	qyeq
1213	掎	dFF	kyeq
1214	綺	eFF	khyeq
1215	螘	gFF	ngyeq
1216	蔿	kFJ	ueq
1217	觜	NFJ	tswieq
1218	蘂	cFJ	njwieq
1219	此	OFB	tshieq
1220	豸	LFB	drieq
1221	徙	QFB	sieq
1222	酏	lFB	jieq
1223	邐	IFB	lieq
1224	躧	VFB	sryeq
1225	𢔌	AFB	pieq
1226	爾	cFB	njieq
1227	渳	DFB	mieq
1228	婢	CFB	bieq
1229	侈	YFB	tjhieq
1230	弛	aFB	sjieq
1231	紫	NFB	tsieq
1232	捶	XFJ	tjwieq
1233	揣	TFJ	tsrhueq
1234	𤢍	RFJ	zwieq
1235	舓	bFB	zjieq
1236	㧗	SFB	tsryeq
1237	㱟	BFF	phyeq
1238	諀	BFB	phieq
1239	䓈	lFJ	jwieq
1240	惢	PFJ	dzwieq
1241	跬	eFJ	khwieq
1242	狔	MFB	nrieq
1243	硊	gFN	ngueq
1244	跪	fFN	gueq
1245	褫	KFB	trhieq
1246	㨖	JFB	trieq
1247	𪖥	iFF	hyeq
1248	企	eFB	khieq
1249	菙	ZFJ	djwieq
1250	枳	dFB	kieq
1251	旨	XGB	tjiq
1252	視	ZGB	djiq
1253	美	DGF	myiq
1254	鄙	AGF	pyiq
1255	兕	RGB	ziq
1256	几	dGF	kyiq
1257	姊	NGB	tsiq
1258	匕	AGB	piq
1259	軌	dGN	kuiq
1260	洧	kGJ	uiq
1261	矢	aGB	sjiq
1262	雉	LGB	driq
1263	死	QGB	siq
1264	牝	CGB	biq
1265	履	IGB	liq
1266	水	aGJ	sjwiq
1267	壘	IGJ	lwiq
1268	揆	fGJ	gwiq
1269	趡	OGJ	tshwiq
1270	柅	MGB	nriq
1271	癸	dGJ	kwiq
1272	否	CGF	byiq
1273	㠑	PGJ	dzwiq
1274	嚭	BGF	phyiq
1275	蕊	cGJ	njwiq
1276	唯	lGJ	jwiq
1277	㰻	hGF	qyiq
1278	濢	NGJ	tswiq
1279	黹	JGB	triq
1280	𡳭	KGB	trhiq
1281	𧿲	XGB	tjiq
1282	䁤	iGJ	hwiq
1283	䣀	fGN	guiq
1284	跽	fGF	gyiq
1285	巋	eGN	khuiq
1286	止	XHB	tjyq
1287	市	ZHB	djyq
1288	徵	JHB	tryq
1289	喜	iHB	hyq
1290	紀	dHB	kyq
1291	以	lHB	jyq
1292	似	RHB	zyq
1293	史	VHB	sryq
1294	耳	cHB	njyq
1295	里	IHB	lyq
1296	枲	QHB	syq
1297	始	aHB	sjyq
1298	歭	LHB	dryq
1299	起	eHB	khyq
1300	士	UHB	dzryq
1301	俟	WHB	zryq
1302	子	NHB	tsyq
1303	矣	kHB	yq
1304	擬	gHB	ngyq
1305	齒	YHB	tjhyq
1306	恥	KHB	trhyq
1307	㓼	THB	tsrhyq
1308	滓	SHB	tsryq
1309	譩	hHB	qyq
1310	伱	MHB	nryq
1311	尾	DIB	mujq
1312	扆	hIB	qyjq
1313	豈	eIB	khyjq
1314	蟣	dIB	kyjq
1315	斐	BIB	phujq
1316	匪	AIB	pujq
1317	韙	kIJ	ujq
1318	鬼	dIJ	kujq
1319	虺	iIJ	hujq
1320	顗	gIB	ngyjq
1321	豨	iIB	hyjq
1322	磈	hIJ	qujq
1323	膹	CIB	bujq
1324	語	gJB	ngyoq
1325	呂	IJB	lyoq
1326	佇	LJB	dryoq
1327	與	lJB	jyoq
1328	䰞	XJB	tjyoq
1329	汝	cJB	njyoq
1330	暑	aJB	sjyoq
1331	杵	YJB	tjhyoq
1332	貯	JJB	tryoq
1333	諝	QJB	syoq
1334	楮	KJB	trhyoq
1335	女	MJB	nryoq
1336	許	iJB	hyoq
1337	巨	fJB	gyoq
1338	所	VJB	sryoq
1339	楚	TJB	tsrhyoq
1340	阻	SJB	tsryoq
1341	齟	UJB	dzryoq
1342	咀	PJB	dzyoq
1343	𢮁	hJB	qyoq
1344	舉	dJB	kyoq
1345	敘	RJB	zyoq
1346	去	eJB	khyoq
1347	紓	bJB	zjyoq
1348	野	ZJB	djyoq
1349	𤿚	OJB	tshyoq
1350	苴	NJB	tsyoq
1351	麌	gKB	nguoq
1352	羽	kKB	uoq
1353	聚	PKB	dzuoq
1354	甫	AKB	puoq
1355	武	DKB	muoq
1356	父	CKB	buoq
1357	撫	BKB	phuoq
1358	柱	LKB	druoq
1359	詡	iKB	huoq
1360	豎	ZKB	djuoq
1361	庾	lKB	juoq
1362	主	XKB	tjuoq
1363	傴	hKB	quoq
1364	齲	eKB	khuoq
1365	拄	JKB	truoq
1366	乳	cKB	njuoq
1367	窶	fKB	guoq
1368	數	VKB	sruoq
1369	矩	dKB	kuoq
1370	取	OKB	tshuoq
1371	縷	IKB	luoq
1372	𦄼	QKB	suoq
1373	䝒	UKB	dzruoq
1374	姥	DLB	moq
1375	土	FLB	thoq
1376	杜	GLB	doq
1377	魯	ILB	loq
1378	蔖	OLB	tshoq
1379	覩	ELB	toq
1380	古	dLB	koq
1381	五	gLB	ngoq
1382	簿	CLB	boq
1383	粗	PLB	dzoq
1384	祖	NLB	tsoq
1385	虎	iLB	hoq
1386	隖	hLB	qoq
1387	苦	eLB	khoq
1388	怒	HLB	noq
1389	戶	jLB	ghoq
1390	普	BLB	phoq
1391	補	ALB	poq
1392	薺	PMB	dzejq
1393	禮	IMB	lejq
1394	體	FMB	thejq
1395	䫌	BMB	phejq
1396	濟	NMB	tsejq
1397	邸	EMB	tejq
1398	弟	GMB	dejq
1399	禰	HMB	nejq
1400	洗	QMB	sejq
1401	泚	OMB	tshejq
1402	啓	eMB	khejq
1403	徯	jMB	ghejq
1404	米	DMB	mejq
1405	陛	CMB	bejq
1406	𠯋	hMB	qejq
1407	堄	gMB	ngejq
1408	㪏	AMB	pejq
1409	蟹	jPB	gheeq
1410	買	DPB	meeq
1411	䒓	ePB	kheeq
1412	廌	LPB	dreeq
1413	嬭	MPB	nreeq
1414	罷	CPB	beeq
1415	矮	hPB	qeeq
1416	擺	APB	peeq
1417	解	dPB	keeq
1418	灑	VPB	sreeq
1419	𠁥	dPJ	kweeq
1420	㧳	iPJ	hweeq
1421	夥	jPJ	ghweeq
1422	扮	iPJ	hweeq
1423	箉	GPB	deeq
1423	柺	dPJ	kweeq
1424	駭	jQB	gheejq
1425	楷	eQB	kheejq
1426	騃	gQB	ngeejq
1427	挨	hQB	qeejq
1428	賄	iSJ	hojq
1429	猥	hSJ	qojq
1430	磥	ISJ	lojq
1431	錞	GSJ	dojq
1432	辠	PSJ	dzojq
1433	浼	DSB	mojq
1434	骽	FSJ	thojq
1435	瘣	jSJ	ghojq
1436	䫥	eSJ	khojq
1437	𦞙	ESJ	tojq
1438	餧	HSJ	nojq
1439	𩬳	ESJ	tojq
1440	頠	gSJ	ngojq
1441	皠	OSJ	tshojq
1442	琲	CSB	bojq
1443	嶊	NSJ	tsojq
1444	倄	kUJ	uojq
1445	海	iTB	heojq
1446	愷	eTB	kheojq
1447	宰	NTB	tseojq
1448	駘	GTB	deojq
1449	乃	HTB	neojq
1450	改	dTB	keojq
1451	亥	jTB	gheojq
1452	啡	BSB	phojq
1453	采	OTB	tsheojq
1454	茝	YUB	tjhyojq
1455	等	ETB	teojq
1456	䆀	DSB	mojq
1457	在	PTB	dzeojq
1458	俖	BSB	phojq
1459	欸	hTB	qeojq
1460	佁	lUB	jyojq
1461	㘆	FTB	theojq
1462	疓	HTB	neojq
1463	𨦂	ITB	leojq
1464	䑂	lUB	jyojq
1465	倍	CSB	bojq
1466	軫	XVB	tjinq
1467	辴	KVB	trhinq
1468	腎	ZVB	djinq
1469	忍	cVB	njinq
1470	矤	aVB	sjinq
1471	嶙	IVB	linq
1472	紖	LVB	drinq
1473	緊	dVB	kinq
1474	盡	PVB	dzinq
1475	㯸	NVB	tsinq
1476	牝	CVB	binq
1477	釿	gVF	ngyinq
1478	笉	OVB	tshinq
1479	窘	fVN	guinq
1480	引	lVB	jinq
1481	愍	DVF	myinq
1482	泯	DVB	minq
1483	殞	kVJ	uinq
1484	準	XVJ	tjwinq
1485	尹	lVJ	jwinq
1486	筍	QVJ	swinq
1487	蝡	cfJ	njwienq
1488	蠢	YVJ	tjhwinq
1489	盾	bVJ	zjwinq
1490	偆	KVJ	trhwinq
1491	耣	IVJ	lwinq
1492	𣯍	cVJ	njwinq
1493	𦃢	eVN	khuinq
1494	螼	eVB	khinq
1495	賰	aVJ	sjwinq
1496	脪	iVF	hyinq
1497	濜	UVB	dzryinq
1498	屒	JVB	trinq
1499	吻	DXB	munq
1500	粉	AXB	punq
1501	憤	CXB	bunq
1502	忿	BXB	phunq
1503	惲	hXJ	qunq
1504	齳	gXJ	ngunq
1505	抎	kXJ	unq
1506	𧼐	eXJ	khunq
1507	隱	hYB	qynq
1508	謹	dYB	kynq
1509	𧤛	SYB	tsryinq
1510	赾	eYB	khynq
1511	近	fYB	gynq
1512	齔	TYB	tsrhyinq
1513	听	gYB	ngynq
1514	䘆	iYB	hynq
1515	阮	gZJ	nguonq
1516	遠	kZJ	uonq
1517	偃	hZB	qyonq
1518	湕	dZB	kyonq
1519	寋	fZB	gyonq
1520	𧥛	eZB	khyonq
1521	𧥜	gZB	ngyonq
1522	幰	iZB	hyonq
1523	晚	DZB	muonq
1524	反	AZB	puonq
1525	𧯦	fZJ	guonq
1526	婉	hZJ	quonq
1527	䅚	eZJ	khuonq
1528	暅	iZJ	huonq
1529	飯	CZB	buonq
1530	混	jaJ	ghonq
1531	翉	BaB	phonq
1532	忖	OaJ	tshonq
1533	本	AaB	ponq
1534	損	QaJ	sonq
1535	𠟃	NaJ	tsonq
1536	穩	haJ	qonq
1537	囤	GaJ	donq
1538	鱒	PaJ	dzonq
1539	𩩌	daJ	konq
1540	畽	FaJ	thonq
1541	閫	eaJ	khonq
1542	㤻	IaJ	lonq
1543	獖	CaB	bonq
1544	懣	DaB	monq
1545	㶧	HaJ	nonq
1546	𦃕	iaJ	honq
1547	很	jbB	gheonq
1548	墾	ebB	kheonq
1549	䫀	dbB	keonq
1550	旱	jcB	ghanq
1551	亶	EcB	tanq
1552	坦	FcB	thanq
1553	散	QcB	sanq
1554	但	GcB	danq
1555	瓚	PcB	dzanq
1556	笴	dcB	kanq
1557	嬾	IcB	lanq
1558	侃	ecB	khanq
1559	䍐	icB	hanq
1560	䰖	NcB	tsanq
1561	緩	jcJ	ghwanq
1562	短	EcJ	twanq
1563	椀	hcJ	qwanq
1564	疃	FcJ	thwanq
1565	算	QcJ	swanq
1566	管	dcJ	kwanq
1567	卵	IcJ	lwanq
1568	款	ecJ	khwanq
1569	煗	HcJ	nwanq
1570	纂	NcJ	tswanq
1571	伴	CcB	banq
1572	滿	DcB	manq
1573	粄	AcB	panq
1574	鄹	PcJ	dzwanq
1575	斷	GcJ	dwanq
1576	攤	HcB	nanq
1577	坢	BcB	phanq
1578	潸	VdB	sraenq
1579	綰	hdJ	qwaenq
1580	版	AdB	paenq
1581	䩆	SdB	tsraenq
1582	赧	MdB	nraenq
1583	僩	jdB	ghaenq
1584	睆	jdJ	ghwaenq
1585	阪	CdB	baenq
1586	矕	DdB	maenq
1587	𪘪	UdB	dzraenq
1588	𪗙	gdB	ngaenq
1589	㹽	TdB	tsrhaenq
1590	眅	BdB	phaenq
1591	撰	UdJ	dzrwaenq
1592	產	VeB	sreenq
1593	限	jeB	gheenq
1594	𥇅	DeB	meenq
1595	簡	deB	keenq
1596	剗	TeB	tsrheenq
1597	棧	UeB	dzreenq
1598	眼	geB	ngeenq
1599	醆	SeB	tsreenq
1600	㦃	TeJ	tsrhweenq
1601	齦	eeB	kheenq
1602	銑	QgB	senq
1603	腆	FgB	thenq
1604	典	EgB	tenq
1605	蝘	hgB	qenq
1606	殄	GgB	denq
1607	繭	dgB	kenq
1608	峴	jgB	ghenq
1609	顯	igB	henq
1610	㨠	DgB	menq
1611	撚	HgB	nenq
1612	編	AgB	penq
1613	泫	jgJ	ghwenq
1614	𡿨	dgJ	kwenq
1615	辮	CgB	benq
1616	犬	egJ	khwenq
1617	𥧬	egB	khenq
1618	齞	ggB	ngenq
1619	獮	QfB	sienq
1620	演	lfB	jienq
1621	踐	PfB	dzienq
1622	展	JfB	trienq
1623	𦗢	XfB	tjienq
1624	趁	MfB	nrienq
1625	淺	OfB	tshienq
1626	闡	YfB	tjhienq
1627	遣	efB	khienq
1628	蹇	dfF	kyenq
1629	善	ZfB	djienq
1630	翦	NfB	tsienq
1631	蹨	cfB	njienq
1632	𦆀	RfB	zienq
1633	輦	IfB	lienq
1634	齴	gfF	ngyenq
1635	件	ffF	gyenq
1636	辯	CfF	byenq
1637	緬	DfB	mienq
1638	褊	AfB	pienq
1639	臇	NfJ	tswienq
1640	雋	PfJ	dzwienq
1641	辡	AfF	pyenq
1642	兗	lfJ	jwienq
1643	臠	IfJ	lwienq
1644	轉	JfJ	trwienq
1645	卷	dfN	kuenq
1646	圈	ffN	guenq
1647	輭	cfJ	njwienq
1648	舛	YfJ	tjhwienq
1649	膞	ZfJ	djwienq
1650	篆	LfJ	drwienq
1651	剸	XfJ	tjwienq
1652	選	QfJ	swienq
1653	撰	UfJ	dzruenq
1654	蜎	ffJ	gwienq
1655	蠉	ifJ	hwienq
1656	楩	CfB	bienq
1657	免	DfF	myenq
1658	搌	KfB	trhienq
1659	鴘	BfF	phyenq
1660	㒄	afB	sjienq
1661	㫃	hfF	qyenq
1662	邅	LfB	drienq
1663	棧	UfB	dzryenq
1664	篠	QhB	sewq
1665	皎	dhB	kewq
1666	鳥	EhB	tewq
1667	了	IhB	lewq
1668	朓	FhB	thewq
1669	䥵	ihB	hewq
1670	杳	hhB	qewq
1671	嬲	HhB	newq
1672	皛	jhB	ghewq
1673	窕	GhB	dewq
1674	磽	ehB	khewq
1675	湫	NhB	tsewq
1676	小	QiB	siewq
1677	肈	LiB	driewq
1678	沼	XiB	tjiewq
1679	夭	hiF	qyewq
1680	巐	KiB	trhiewq
1681	少	aiB	sjiewq
1682	擾	ciB	njiewq
1683	摽	CiB	biewq
1684	𪍑	YiB	tjhiewq
1685	縹	BiB	phiewq
1686	眇	DiB	miewq
1687	紹	ZiB	djiewq
1688	矯	diF	kyewq
1689	表	AiF	pyewq
1690	褾	AiB	piewq
1691	藨	CiF	byewq
1692	鷕	liB	jiewq
1693	悄	OiB	tshiewq
1694	剿	NiB	tsiewq
1695	𨲭	fiF	gyewq
1696	繚	IiB	liewq
1697	麃	BiF	phyewq
1698	闄	hiB	qiewq
1699	巧	ejB	khaewq
1700	澩	jjB	ghaewq
1701	飽	AjB	paewq
1702	㺒	MjB	nraewq
1703	卯	DjB	maewq
1704	絞	djB	kaewq
1705	爪	SjB	tsraewq
1706	拗	hjB	qaewq
1707	鮑	CjB	baewq
1708	齩	gjB	ngaewq
1709	䰫	UjB	dzraewq
1710	煼	TjB	tsrhaewq
1711	䝤	JjB	traewq
1712	㪢	VjB	sraewq
1713	晧	jkB	ghawq
1714	抱	CkB	bawq
1715	老	IkB	lawq
1716	討	FkB	thawq
1717	道	GkB	dawq
1718	堖	HkB	nawq
1719	㛮	QkB	sawq
1720	倒	EkB	tawq
1721	草	OkB	tshawq
1722	早	NkB	tsawq
1723	皁	PkB	dzawq
1724	暠	dkB	kawq
1725	好	ikB	hawq
1726	蓩	DkB	mawq
1727	寶	AkB	pawq
1728	襖	hkB	qawq
1729	考	ekB	khawq
1730	𦽀	gkB	ngawq
1731	哿	dlB	kaq
1732	瑳	OlB	tshaq
1733	嚲	ElB	taq
1734	縒	QlB	saq
1735	爹	GlB	daq
1736	我	glB	ngaq
1737	袉	FlB	thaq
1738	㰁	IlB	laq
1739	橠	HlB	naq
1740	荷	jlB	ghaq
1741	㰤	ilB	haq
1742	可	elB	khaq
1743	𨵌	hlB	qaq
1744	左	NlB	tsaq
1745	果	dlJ	kwaq
1746	埵	ElJ	twaq
1747	鎖	QlJ	swaq
1748	墮	GlJ	dwaq
1749	妥	FlJ	thwaq
1750	麼	DlB	maq
1751	坐	PlJ	dzwaq
1752	㛂	glJ	ngwaq
1753	裸	IlJ	lwaq
1754	婐	hlJ	qwaq
1755	㛂	HlJ	nwaq
1756	跛	AlB	paq
1757	叵	BlB	phaq
1758	禍	jlJ	ghwaq
1759	火	ilJ	hwaq
1760	顆	elJ	khwaq
1761	爸	ClB	baq
1762	脞	OlJ	tshwaq
1763	硰	OlB	tshaq
1764	馬	DnB	maeq
1765	者	XoB	tjiaeq
1766	野	loB	jiaeq
1767	雅	gnB	ngaeq
1768	檟	dnB	kaeq
1769	灑	VnB	sraeq
1770	啞	hnB	qaeq
1771	灺	RoB	ziaeq
1772	下	jnB	ghaeq
1773	寫	QoB	siaeq
1774	𡎬	SnJ	tsrwaeq
1775	乜	DoB	miaeq
1776	且	OoB	tshiaeq
1777	㗿	inB	haeq
1778	社	ZoB	djiaeq
1779	跒	enB	khaeq
1780	跁	CnB	baeq
1781	捨	aoB	sjiaeq
1782	姐	NoB	tsiaeq
1783	把	AnB	paeq
1784	踝	jnJ	ghwaeq
1785	寡	dnJ	kwaeq
1786	瓦	gnJ	ngwaeq
1787	若	coB	njiaeq
1788	鮓	SnB	tsraeq
1789	觰	JnB	traeq
1790	槎	UnB	dzraeq
1791	奲	YoB	tjhiaeq
1792	䋾	JnB	traeq
1793	䋈	MnB	nraeq
1794	髁	enJ	khwaeq
1795	䂳	TnJ	tsrhwaeq
1796	䊬	KnJ	trhwaeq
1797	葰	VnJ	srwaeq
1798	奼	KnB	trhaeq
1799	藞	InB	laeq
1800	養	lpB	jyangq
1801	像	RpB	zyangq
1802	㢡	NpB	tsyangq
1803	㒳	IpB	lyangq
1804	鞅	hpB	qyangq
1805	勥	fpB	gyangq
1806	仰	gpB	ngyangq
1807	磢	TpB	tsrhyangq
1808	想	QpB	syangq
1809	掌	XpB	tjyangq
1810	𤕤	VpB	sryangq
1811	響	ipB	hyangq
1812	敞	YpB	tjhyangq
1813	繈	dpB	kyangq
1814	丈	LpB	dryangq
1815	昶	KpB	trhyangq
1816	獷	dpJ	kuangq
1817	壤	cpB	njyangq
1818	賞	apB	sjyangq
1819	髣	BpB	phuangq
1820	网	DpB	muangq
1821	昉	ApB	puangq
1822	枉	hpJ	quangq
1823	往	kpJ	uangq
1824	怳	ipJ	huangq
1825	搶	OpB	tshyangq
1826	長	JpB	tryangq
1827	上	ZpB	djyangq
1828	俇	fpJ	guangq
1829	臩	dpJ	kuangq
1830	𩦠	CpB	biangq
1831	䫪	TpB	tsrhyangq
1832	蕩	GqB	dangq
1833	顙	QqB	sangq
1834	廣	dqJ	kwangq
1835	榜	AqB	pangq
1836	駔	NqB	tsangq
1837	曩	HqB	nangq
1838	沆	jqB	ghangq
1839	曭	FqB	thangq
1840	莽	DqB	mangq
1841	黨	EqB	tangq
1842	朗	IqB	langq
1843	坱	hqB	qangq
1844	慷	eqB	khangq
1845	㳹	hqJ	qwangq
1846	晃	jqJ	ghwangq
1847	髈	BqB	phangq
1848	慌	iqJ	hwangq
1849	䴚	dqB	kangq
1850	䭹	gqB	ngangq
1851	奘	PqB	dzangq
1852	蒼	OqB	tshangq
1853	汻	iqB	hangq
1854	懬	eqJ	khwangq
1855	梗	drB	kaengq
1856	丙	AsB	pyaengq
1857	警	dsB	kyaengq
1858	影	hsB	qyaengq
1859	省	VsB	sryaengq
1860	永	ksJ	uaengq
1861	𦬺	isJ	huaengq
1862	皿	DsB	myaengq
1863	憬	dsJ	kuaengq
1864	杏	jrB	ghaengq
1865	猛	DrB	maengq
1866	礦	drJ	kwaengq
1867	浜	ArB	paengq
1868	盯	JrB	traengq
1869	瑒	LrB	draengq
1870	䁝	hrJ	qwaengq
1871	打	ErB	taengq
1872	冷	IrB	laengq
1873	卝	jrJ	ghwaengq
1874	鮩	CrB	baengq
1875	𥉁	erJ	khwaengq
1876	檸	MrB	nraengq
1877	耿	dtB	keengq
1878	䁅	DtB	meengq
1879	幸	jtB	gheengq
1880	𠊧	CtB	beengq
1881	皏	BtB	pheengq
1882	靜	PuB	dziaengq
1883	整	XuB	tjiaengq
1884	逞	KuB	trhiaengq
1885	郢	luB	jiaengq
1886	痙	fuB	giaengq
1887	潁	luJ	jwiaengq
1888	領	IuB	liaengq
1889	頸	duB	kiaengq
1890	餅	AuB	piaengq
1891	頃	euJ	khwiaengq
1892	井	NuB	tsiaengq
1893	廮	huB	qiaengq
1894	請	OuB	tshiaengq
1895	省	QuB	siaengq
1896	眳	DuB	miaengq
1897	徎	LuB	driaengq
1898	迥	jvJ	ghwengq
1899	熲	dvJ	kwengq
1900	茗	DvB	mengq
1901	頂	EvB	tengq
1902	挺	GvB	dengq
1903	珽	FvB	thengq
1904	汫	PvB	dzengq
1905	濙	hvJ	qwengq
1906	謦	evB	khengq
1907	𩕳	HvB	nengq
1908	婞	jvB	ghengq
1909	醒	QvB	sengq
1910	鞞	AvB	pengq
1911	褧	evJ	khwengq
1912	剄	dvB	kengq
1913	頩	BvB	phengq
1914	巊	hvB	qengq
1915	笭	IvB	lengq
1916	竝	CvB	bengq
1917	詗	ivJ	hwengq
1918	䀴	gvB	ngengq
1919	拯	XwB	tjyngq
1920	庱	KwB	trhyngq
1921	殑	fwB	gyngq
1922	㱡	VwB	sryngq
1923	等	ExB	teongq
1924	倗	BxB	pheongq
1925	肯	exB	kheongq
1926	能	HxB	neongq
1927	有	kyB	uq
1928	柳	IyB	luq
1929	狃	MyB	nruq
1930	丑	KyB	trhuq
1931	肘	JyB	truq
1932	朽	iyB	huq
1933	久	dyB	kuq
1934	首	ayB	sjuq
1935	醜	YyB	tjhuq
1936	湫	PyB	dzuq
1937	婦	CyB	buq
1938	缶	AyB	puq
1939	糗	eyB	khuq
1940	蹂	cyB	njuq
1941	舅	fyB	guq
1942	紂	LyB	druq
1943	酉	lyB	juq
1944	受	ZyB	djuq
1945	滫	QyB	suq
1946	䬀	hyB	quq
1947	酒	NyB	tsuq
1948	溲	VyB	sruq
1949	帚	XyB	tjuq
1950	㤱	ByB	phuq
1951	掫	SyB	tsruq
1952	𥣙	UyB	dzruq
1953	𩋄	TyB	tsrhuq
1954	秠	ByB	phuq
1955	厚	jzB	ghouq
1956	母	DzB	mouq
1957	部	CzB	bouq
1958	斗	EzB	touq
1959	𪌘	FzB	thouq
1960	苟	dzB	kouq
1961	藕	gzB	ngouq
1962	㨐	AzB	pouq
1963	㝅	HzB	nouq
1964	叜	QzB	souq
1965	吼	izB	houq
1966	剖	BzB	phouq
1967	歐	hzB	qouq
1968	塿	IzB	louq
1969	走	NzB	tsouq
1970	口	ezB	khouq
1971	䕆	GzB	douq
1972	鯫	PzB	dzouq
1973	趣	OzB	tshouq
1974	黝	h0B	qiwq
1975	糾	d0B	kiwq
1976	蟉	f0B	giwq
1977	寑	O1B	tshimq
1978	朕	L1B	drimq
1979	坅	e1F	khyimq
1980	廩	I1B	limq
1981	罧	Q1B	simq
1982	踸	K1B	trhimq
1983	䤐	N1B	tsimq
1984	荏	c1B	njimq
1985	枕	X1B	tjimq
1986	沈	a1B	sjimq
1987	葚	b1B	zjimq
1988	甚	Z1B	djimq
1989	瀋	Y1B	tjhimq
1990	墋	T1B	tsrhyimq
1991	拰	M1B	nrimq
1992	噤	f1F	gyimq
1993	錦	d1F	kyimq
1994	蕈	P1B	dzimq
1995	僸	g1F	ngyimq
1996	㾕	V1B	sryimq
1997	稟	A1F	pyimq
1998	㱃	h1F	qyimq
1999	品	B1F	phyimq
2000	𩖄	e1F	khyimq
2001	廞	i1F	hyimq
2002	戡	J1B	trimq
2003	潭	l1B	jimq
2004	𩒣	U1B	dzryimq
