poem小韵号	nk2028字头	unt修改后编码	切韵拼音
248	蜍	ZJA	djyo
249	袽	MJA	nryo
250	虞	gKA	nguo
251	芻	TKA	tsrhuo
252	無	DKA	muo
253	于	kKA	uo
254	訏	iKA	huo
255	衢	fKA	guo
256	儒	cKA	njuo
257	須	QKA	suo
258	株	JKA	truo
259	貙	KKA	trhuo
260	殊	ZKA	djuo
261	逾	lKA	juo
262	區	eKA	khuo
263	朱	XKA	tjuo
264	趨	OKA	tshuo
265	慺	IKA	luo
266	扶	CKA	buo
267	䅳	UKA	dzruo
268	㑳	SKA	tsruo
269	敷	BKA	phuo
270	諏	NKA	tsuo
271	跗	AKA	puo
272	紆	hKA	quo
273	輸	aKA	sjuo
274	樞	YKA	tjhuo
275	廚	LKA	druo
276	拘	dKA	kuo
277	毹	VKA	sruo
278	模	DLA	mo
279	酺	CLA	bo
280	胡	jLA	gho
281	孤	dLA	ko
282	徒	GLA	do
283	奴	HLA	no
284	呼	iLA	ho
285	吾	gLA	ngo
286	租	NLA	tso
287	盧	ILA	lo
288	蘇	QLA	so
289	徂	PLA	dzo
290	烏	hLA	qo
291	逋	ALA	po
292	枯	eLA	kho
293	麤	OLA	tsho
294	㻌	FLA	tho
295	都	ELA	to
296	𥠵	BLA	pho
297	齊	PMA	dzej
298	黎	IMA	lej
299	妻	OMA	tshej
300	低	EMA	tej
301	嗁	GMA	dej
302	豍	AMA	pej
303	雞	dMA	kej
304	奚	jMA	ghej
305	鷖	hMA	qej
306	倪	gMA	ngej
307	醯	iMA	hej
308	西	QMA	sej
309	梯	FMA	thej
310	鼙	CMA	bej
311	磇	BMA	phej
312	齎	NMA	tsej
313	迷	DMA	mej
314	泥	HMA	nej
315	谿	eMA	khej
316	圭	dMI	kwej
317	睽	eMI	khwej
318	攜	jMI	ghwej
319	臡	cNA	njiej
320	栘	ZNA	djiej
321	烓	hMI	qwej
322	睳	iMI	hwej
323	佳	dPA	kee
324	㥟	jPA	ghee
325	牌	CPA	bee
326	媧	dPI	kwee
327	蛙	hPI	qwee
328	咼	ePI	khwee
329	柴	UPA	dzree
330	釵	TPA	tsrhee
331	竵	iPI	hwee
332	䍲	MPA	nree
333	崖	gPA	ngee
334	娃	hPA	qee
335	崽	VPA	sree
336	㗨	iPA	hee
337	扠	KPA	trhee
338	䁲	DPA	mee
339	鼃	jPI	ghwee
340	皆	dQA	keej
341	𢰇	hQA	qeej
342	諧	jQA	gheej
343	排	CQA	beej
344	乖	dQI	kweej
345	懷	jQI	ghweej
346	匯	eQI	khweej
347	豺	UQA	dzreej
348	差	TQA	tsrheej
349	虺	iQI	hweej
350	尵	LQI	drweej
351	埋	DQA	meej
352	齋	SQA	tsreej
353	崴	hQI	qweej
354	𪘨	JQA	treej
355	唻	ITA	leoj
356	揩	eQA	kheej
357	搱	MQA	nreej
358	崽	VQA	sreej
359	𩂢	gQA	ngeej
360	搋	KQA	trheej
361	俙	iQA	heej
362	䐯	IQI	lweej
363	膗	UQI	dzrweej
364	灰	iSI	hoj
365	恢	eSI	khoj
366	隈	hSI	qoj
367	回	jSI	ghoj
368	枚	DSA	moj
369	傀	dSI	koj
370	雷	ISI	loj
371	穨	GSI	doj
372	崔	OSI	tshoj
373	磓	ESI	toj
374	𤗯	QSI	soj
375	摧	PSI	dzoj
376	裴	CSA	boj
377	桮	ASA	poj
378	肧	BSA	phoj
379	鮠	gSI	ngoj
